Source URL,Target URL,Redirect Type,Ignore Slash,Ignore Case,Regex
/cv-writing-create-a-resume/,/gcc-cv-guide/cv-format-for-dubai/,301,Yes,Yes,No
/cv-templates-dubai-free/,/gcc-cv-guide/cv-format-for-dubai/,301,Yes,Yes,No
/resume-tips/,/gcc-cv-guide/cv-format-for-dubai/,301,Yes,Yes,No
/resume-tips-create-a-resume-that-gets-interviews/,/gcc-cv-guide/cv-format-for-dubai/,301,Yes,Yes,No
/resume-writing-tips-expert-advice-from-skill-success/,/gcc-cv-guide/cv-format-for-dubai/,301,Yes,Yes,No
/cv-bullet-formula-car-method-2026/,/gcc-cv-guide/cv-format-for-dubai/,301,Yes,Yes,No
/professional-summary-cv-examples-uae/,/gcc-cv-guide/cv-format-for-dubai/,301,Yes,Yes,No
/ats-friendly-cv-dubai/,/gcc-cv-guide/cv-format-for-dubai/,301,Yes,Yes,No
/ats-friendly-cv-uae/,/gcc-cv-guide/cv-format-for-dubai/,301,Yes,Yes,No
/ats-friendly-resume-for-gulf-countries-what-nobody-in-hr-will-tell-you/,/gcc-cv-guide/cv-format-for-dubai/,301,Yes,Yes,No
/hotel-cv-uae/,/gcc-cv-guide/cv-format-for-dubai/,301,Yes,Yes,No
/cv-photo-uae/,/gcc-cv-guide/photo-or-no-photo/,301,Yes,Yes,No
/should-i-include-photo-on-cv-uae/,/gcc-cv-guide/photo-or-no-photo/,301,Yes,Yes,No
/cv-vs-resume-difference-uae/,/gcc-cv-guide/why-western-cv-advice-fails/,301,Yes,Yes,No
/employment-gap-cv-uae/,/gcc-cv-guide/why-western-cv-advice-fails/,301,Yes,Yes,No
/cover-letter/,/gcc-cv-guide/cover-letter-for-uae-jobs/,301,Yes,Yes,No
/cover-letter-assistance/,/gcc-cv-guide/cover-letter-for-uae-jobs/,301,Yes,Yes,No
