Source URL,Target URL,Redirect Type,Ignore Slash,Ignore Case,Regex
/job-opportunities-in-abu-dhabi/,/abu-dhabi-careers/,301,Yes,Yes,No
/living-and-working-in-abu-dhabi-2024/,/abu-dhabi-careers/,301,Yes,Yes,No
/how-to-get-a-job-in-abu-dhabi-2024/,/abu-dhabi-careers/finding-a-job/,301,Yes,Yes,No
/abu-dhabi-work-permits/,/abu-dhabi-careers/work-permits-and-visas/,301,Yes,Yes,No
/healthcare-careers-in-abu-dhabi-opportunities-and-requirements/,/abu-dhabi-careers/sectors/,301,Yes,Yes,No
/healthcare-facilities-in-abu-dhabi/,/abu-dhabi-careers/sectors/,301,Yes,Yes,No
/teaching-jobs-in-abu-dhabi-everything-you-need-to-know/,/abu-dhabi-careers/sectors/,301,Yes,Yes,No
/technology-careers-abu-dhabi/,/abu-dhabi-careers/sectors/,301,Yes,Yes,No
/best-nursery-in-dubai-vs-abu-dhabi/,/abu-dhabi-careers/relocating-here/,301,Yes,Yes,No
/nursery-in-abu-dhabi-city/,/abu-dhabi-careers/relocating-here/,301,Yes,Yes,No
/nursery-in-reem-island-abu-dhabi/,/abu-dhabi-careers/relocating-here/,301,Yes,Yes,No
