id,band,name,domain,website,linkedin,founded,revenue,revenue_num,growth_12m,growth_24m,phone,public,exchange,naics,sic
"5f50a22da4560d00e3eddf31","1001-50000","NVIDIA","nvidia.com","http://www.nvidia.com","http://www.linkedin.com/company/nvidia",1993,"215.9B",215938000000.0,0.1358370840404338,0.3517342309380945,"+1 408-486-2000","NVDA","nasdaq","","3674;3577;3576;3575;3600"
"5da2e6a3f978a8000177e831","1001-50000","Goldman Sachs","goldmansachs.com","http://www.goldmansachs.com","http://www.linkedin.com/company/goldman-sachs",1869,"125.1B",125097000000.0,0.06235360458055001,0.2005048772119014,"+1 212-902-1000","GS","nasdaq","5231","6211"
"559235e27369642529b05200","1001-50000","Eni","eni.com","http://www.eni.com","http://www.linkedin.com/company/eni",1953,"96.3B",96306404000.0,0.01322168356104011,0.01951219512195122,"+39 393 965 9821","ENI.MI","mil","21112","1381"
"60a0cde25f8e8300016dcfce","1001-50000","Christian Dior Couture","dior.com","http://www.dior.com","http://www.linkedin.com/company/christian-dior-couture",1947,"88.2B",88202425000.0,0.0180654013263206,0.0465444287729196,"+33 1 53 73 22 22","CDI","other","33991","5099"
"54a22fa27468693318bc1514","1001-50000","McDermott International, Ltd","mcdermott.com","http://www.mcdermott.com","http://www.linkedin.com/company/mcdermott-international-inc-",1923,"81B",81000000000.0,0.009478672985781991,0.0729634002361275,"+1 281-588-6600","MDR","nyse","23713","1629"
"5ee8d375f72f7600e87e3868","1001-50000","ADM","adm.com","http://www.adm.com","http://www.linkedin.com/company/adm",1902,"80.3B",80269000000.0,0.01514960232293902,0.0779542864803271,"+1 312-634-8100","ADM","nasdaq","31122","2099"
"6241849c64051c00a550fda4","1001-50000","MetLife","metlife.com","http://www.metlife.com","http://www.linkedin.com/company/metlife",1868,"77.1B",77084000000.0,0.03653054167059637,0.090274792500248,"+1 212-578-2211","MET","nasdaq","","6321;6411;6199"
"5e56ff8794c49d00016857dd","1001-50000","Broadcom",,,"http://www.linkedin.com/company/broadcom",1991,"63.9B",63887000000.0,-0.007498231549162933,-0.04648423341790504,"+1 650-427-6000","AVGO","nasdaq","54151","7371"
"5f472d17465466000112c98f","1001-50000","Chubb","chubb.com","http://www.chubb.com","http://www.linkedin.com/company/chubb",1882,"59.6B",59582000000.0,0.0488661125010088,0.1449147689732634,"+49 414 34567600","CB","nasdaq","52413","6331"
"54a129b269702dc1280a8001","201-1000","Amicorp Group","amicorp.com","http://www.amicorp.com","http://www.linkedin.com/company/amicorp",1992,"58.8B",58776000000.0,-0.01570680628272251,0.1786833855799373,"+852 3105 9882","AMIF","lse","5231","6732"
"5f7186a8f45e1901bee3d3b7","1001-50000","Ingram Micro","ingrammicro.com","http://www.ingrammicro.com","http://www.linkedin.com/company/ingram-micro",1979,"52.6B",52556263000.0,-0.005980861244019139,-0.01547574972232506,"+1 714-566-1000","INGM","nasdaq","42343","5099"
"5e57b09b0f85860001915922","1001-50000","Uber","uber.com","http://www.uber.com","http://www.linkedin.com/company/uber-com",2009,"52B",52017000000.0,0.02929370307951586,0.06188060126132107,"+1 415-612-8582","UBER","nasdaq","48599","7372"
"6050c3a49497e900fec5436d","1001-50000","Porsche AG","porsche.com","http://www.porsche.com","http://www.linkedin.com/company/porsche-ag",1931,"42.5B",42519668000.0,-0.04780114722753346,-0.07434944237918216,"+49 441 772911911","P911.DE","etra","33611","3711"
"5b85eed2f874f742fe45776a","1001-50000","SHEIN","shein.com","http://www.shein.com","http://www.linkedin.com/company/shein",2012,"37.1B",37100000000.0,0.02595936794582393,0.1357767596834652,,,"otcbb","","5099"
